"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"FF","2024-09-26","96.2","-0.71","6.55","Judge, Aaron",592450,641329,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (58) on a fly ball to left center field.   Juan Soto scores.","R","R","R","NYY","BAL","X",,"fly_ball",1,0,2024,"-0.03","1.46","0.13","2.97",,,665742,1,7,"Bot",69.45,49.73,,,543510,,,2.311965627174844,-140.0208882296614,-7.27834907791005,-0.9377567547142448,31.723272221122954,-11.530511564209363,"4.03","1.82",394,"110.9",42,"97",2165,"6.7",745691,641329,543510,656811,676059,602104,683002,681297,656775,623993,"53.78",0.597,1.237,"2",1,0,3,6,54,2,"4-Seam Fastball",7,0,7,0,0,9,9,0,"Standard","Standard",197,"0.002","1.649","80.51691","8.38745"
"ST","2024-09-25","84","-4.18","5.86","Judge, Aaron",592450,621199,"home_run","hit_into_play",,,,,7,"Aaron Judge homers (57) on a fly ball to center field.   Gleyber Torres scores.    Juan Soto scores.","R","R","R","NYY","BAL","X",,"fly_ball",3,2,2024,"1.16","0.32","-0.52","2.44",650402,,665742,1,9,"Bot",84.99,37.24,,,543510,,,6.223641465607919,-122.21222243104313,-2.152352259088762,10.31641084414411,24.499344921962578,-28.763738384509224,"4.03","1.83",412,"112.7",33,"84.5",2596,"6.6",745690,621199,543510,663624,676059,602104,683002,681297,656775,623993,"53.87",0.971,1.959,"2",1,0,3,6,84,7,"Sweeper",4,9,4,9,9,7,7,9,"Standard","Standard",74,"0.027","2.077","77.11691","8.16787"
"FS","2024-09-24","83.3","-1.61","6.25","Judge, Aaron",592450,665152,"home_run","hit_into_play",,,,,8,"Aaron Judge homers (56) on a fly ball to left center field.","R","R","R","NYY","BAL","X",,"fly_ball",3,2,2024,"-0.85","0.76","-0.21","2.15",,,,0,4,"Bot",53.4,50.99,,,668939,,,4.876869784373887,-121.26970390985926,-4.495782087152264,-9.349411258003412,22.42898709853519,-24.02899313940949,"4.02","1.84",407,"110.4",33,"83.4",953,"6.2",745688,665152,668939,656811,676059,602104,683002,681297,656775,623993,"54.29",0.966,1.947,"2",1,0,3,6,28,6,"Split-Finger",0,2,0,2,2,1,1,2,"Standard","Standard",222,"0.121","0.929","80.123","8.51637"
"SI","2024-09-22","92.6","-2.31","5.87","Judge, Aaron",592450,683155,"home_run","hit_into_play",,,,,8,"Aaron Judge homers (55) on a fly ball to center field.","R","R","R","OAK","NYY","X",,"fly_ball",3,2,2024,"-1.25","0.98","-0.08","2.42",,,,1,3,"Top",140.59,27.44,,,669127,,,8.378215794119653,-134.50973207093517,-5.129989476578821,-16.95959743857326,28.45408706895669,-19.338924284953436,"3.99","1.82",407,"110.9",34,"92.1",2326,"6",745608,683155,669127,691016,680869,680474,805779,664913,668709,671732,"54.46",0.954,1.92,"2",1,0,3,6,22,6,"Sinker",2,2,2,2,3,2,3,2,"Standard","Standard",218,"-0.121","0.952","79.78673","8.67917"
"SL","2024-09-21","81.8","-1.28","6.25","Judge, Aaron",592450,656232,"home_run","hit_into_play",,,,,1,"Aaron Judge homers (54) on a fly ball to center field.","R","R","R","OAK","NYY","X",,"fly_ball",0,0,2024,"0.72","0.05","-0.33","3.4",,,,0,7,"Top",93.92,30,,,669127,,,0.726878569918562,-119.09285787456746,0.09757171042789459,6.646807101086021,25.986067330632494,-31.977455223603794,"3.99","1.82",425,"107.2",34,"80.2",2410,"5.4",745610,656232,669127,663527,680869,669397,805779,663662,668709,671732,"55.07",0.831,1.651,"2",1,0,3,6,53,1,"Slider",0,6,6,0,7,0,7,0,"Standard","Standard",41,"-0.007","1","74.07859","7.58881"
"FF","2024-09-15","92.2","-1.11","6.08","Judge, Aaron",592450,676710,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (53) on a fly ball to center field.   Juan Soto scores.","R","R","R","NYY","BOS","X",,"fly_ball",0,1,2024,"-0.41","1.68","0.07","3.01",,,665742,0,3,"Bot",141.4,19.2,,,643376,,,3.86878964893254,-134.0555821118774,-5.4992621169333145,-5.900089118622424,33.58500697056564,-11.006551230762842,"3.99","1.8",445,"112.1",29,"91",2478,"5.9",745693,676710,643376,657136,663853,646240,596115,680776,678882,641933,"54.55",0.997,2,"2",1,0,3,6,22,2,"4-Seam Fastball",2,0,2,0,0,4,4,0,"Standard","Standard",203,"0.106","1.646","86.9771","8.05599"
"FF","2024-09-13","95.5","2.68","5.95","Judge, Aaron",592450,592155,"home_run","hit_into_play",,,,,5,"Aaron Judge hits a grand slam (52) to left field.   Alex Verdugo scores.    Gleyber Torres scores.    Juan Soto scores.","R","R","L","NYY","BOS","X",,"fly_ball",2,0,2024,"0.71","1.37","0.15","2.56",657077,650402,665742,0,7,"Bot",17.52,60.57,,,657136,,,-8.23944127374893,-138.72945291881587,-6.371935596224965,11.048376982362013,30.849999650837944,-13.20684874448822,"4.02","1.8",369,"101.9",29,"95.3",2003,"6.3",745696,592155,657136,671213,678882,646240,596115,641933,680776,677800,"54.25",0.669,1.261,"2",1,0,3,6,59,3,"4-Seam Fastball",1,4,1,4,4,5,5,4,"Standard","Standard",151,"0.426","1.872","83.38897","8.67863"
"CH","2024-08-25","82.5","2.2","6.46","Judge, Aaron",592450,596295,"home_run","hit_into_play",,,,,9,"Aaron Judge homers (50) on a fly ball to center field.   Gleyber Torres scores.","R","R","L","NYY","COL","X",,"fly_ball",0,2,2024,"0.95","0.97","0.41","2.05",,,650402,1,1,"Bot",101.85,27.62,,,691011,,,-5.972551272605135,-119.93327764022864,-5.493607912569545,10.284302031080744,21.61064356905223,-21.917604766566974,"3.94","1.78",431,"106.7",27,"83.3",1626,"6.7",745706,596295,691011,669911,663898,641857,678662,666134,686668,595909,"53.77",0.971,2,"2",1,0,3,6,9,4,"Changeup",0,1,0,1,1,2,2,1,"Strategic","Standard",113,"0.185","1.8","74.46473","8.59854"
"SI","2024-08-25","95.4","-2.9","5.42","Judge, Aaron",592450,676105,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (51) on a fly ball to right center field.","R","R","R","NYY","COL","X",,"fly_ball",0,0,2024,"-1.15","1.23","-0.24","3.18",,,,1,7,"Bot",167.04,55.16,,,691011,,,9.605541790833655,-138.54993867049814,-3.0132430728849715,-16.923602107422965,31.296612733219483,-15.846684749504862,"3.94","1.78",377,"103.3",38,"95.6",2316,"6.5",745706,676105,691011,669911,663898,641857,678662,666134,686668,595909,"53.99",0.394,0.783,"2",1,0,3,5,60,1,"Sinker",5,3,5,3,3,6,6,3,"Strategic","Standard",230,"0.058","1","76.47309","7.69719"
"FF","2024-08-23","91.2","2.3","5.99","Judge, Aaron",592450,607536,"home_run","hit_into_play",,,,,11,"Aaron Judge homers (49) on a fly ball to left center field.","R","R","L","NYY","COL","X",,"fly_ball",1,1,2024,"0.62","1.57","-1.08","3.17",,,,0,6,"Bot",48.81,62.12,,,607732,,,-9.862071674504312,-132.34062623654145,-4.56063037278213,9.444209570691573,28.95613425639677,-12.917623740823759,"3.95","1.78",388,"102.6",37,"91.4",2464,"6.6",745702,607536,607732,669911,668845,641857,678662,666134,686668,687597,"53.9",0.463,0.925,"2",1,0,3,6,44,3,"4-Seam Fastball",2,0,2,0,0,3,3,0,"Strategic","Standard",144,"0.066","1.01","81.26215","8.1045"
"CH","2024-08-22","91.6","-2.88","5.65","Judge, Aaron",592450,668909,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (48) on a fly ball to right field.","R","R","R","NYY","CLE","X",,"fly_ball",2,1,2024,"-1.56","0.86","0.27","2.53",,,,1,4,"Bot",231.43,97.28,,,666310,,,11.56222110292467,-132.96071803002764,-3.953893950677538,-20.854986276479504,26.286425064627657,-21.30406842943761,"3.98","1.8",360,"104.6",32,"93.8",2162,"7.5",745705,668909,666310,647304,665926,608070,677587,680757,671289,686823,"52.97",0.869,1.732,"2",1,0,3,6,28,4,"Changeup",0,0,0,0,0,1,1,0,"Strategic","Strategic",243,"0.138","0.971","79.28604","7.95147"
"CU","2024-08-21","77","0.43","6.05","Judge, Aaron",592450,676282,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (46) on a fly ball to right center field.    Juan Soto scores.","R","R","L","NYY","CLE","X",,"fly_ball",2,2,2024,"-0.74","-1.6","-0.17","2.8",,,665742,1,3,"Bot",174.3,54.15,,,595978,,,0.06686508927809295,-112.03106305326101,3.1455725041647042,-6.1546025726602185,22.98110051188163,-46.3742626104593,"3.98","1.8",378,"103.9",36,"77.7",2695,"7.1",745704,676282,595978,681807,665926,608070,671289,680757,657041,678877,"53.38",0.589,1.127,"2",1,0,3,6,21,5,"Curveball",2,0,2,0,0,4,4,0,"Strategic","Standard",342,"0.121","1.718","77.52132","7.78323"
"FF","2024-08-21","93.9","-0.45","5.72","Judge, Aaron",592450,669212,"home_run","hit_into_play",,,,,9,"Aaron Judge homers (47) on a fly ball to right field.","R","R","R","NYY","CLE","X",,"fly_ball",3,2,2024,"-0.96","1.33","0.36","2.44",,,,1,7,"Bot",205.66,78.76,,,595978,,,4.243325372585289,-136.49703814168961,-5.687882184179581,-12.943385807326099,32.84726879149105,-14.494781360082072,"3.98","1.8",356,"102.5",33,"94",2249,"6.6",745704,669212,595978,681807,665926,671289,677587,686823,657041,678877,"53.86",0.623,1.247,"2",1,0,3,6,53,7,"4-Seam Fastball",7,0,7,0,0,8,8,0,"Infield shade","Standard",221,"0.002","0.952","75.92707","7.87578"
