"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"ST","2024-10-30","85.7","-3.17","6.14","Judge, Aaron",592450,595014,"double","hit_into_play",,,,,13,"Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernández.","W","R","R","NYY","LAD","X",7,"line_drive",3,2,2024,"1.71","-0.27","-0.97","2.59",,,,1,8,"Bot",36.59,112.92,,,669257,,,1.693149239074121,-124.73664348315934,-1.5011588030029683,17.350544666290908,28.219996295352168,-34.86038706659642,"4.01","1.84",174,"100.1",12,"84.1",2643,"5.5",775296,595014,669257,518692,666158,571970,669242,606192,571771,605141,"54.97",0.934,0.885,"1.25",1,1,1,4,78,7,"Sweeper",6,7,6,7,7,6,6,7,"Standard","Standard",50,"0.12","0.367","75.60059","7.69905"
"SI","2024-10-30","97.2","-3","6.15","Judge, Aaron",592450,595014,,"foul",,,,,2,"Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernández.","W","R","R","NYY","LAD","S",,,3,2,2024,"-1.4","0.26","-0.08","3.35",,,,1,8,"Bot",,,,,669257,,,10.924837878920687,-141.06648942556617,-2.475443211415045,-21.301520632054633,35.126848971958026,-28.294584890366462,"4.01","1.84",248,"82.8",41,"95.8",2546,"5.8",775296,595014,669257,518692,666158,571970,669242,606192,571771,605141,"54.68",,,,,,,,78,6,"Sinker",6,7,6,7,7,6,6,7,"Strategic","Standard",231,"0","0","70.15002","6.48391"
"ST","2024-10-30","87.3","-2.97","6.13","Judge, Aaron",592450,595014,,"ball",,,,,14,"Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernández.","W","R","R","NYY","LAD","B",,,2,2,2024,"1.71","-0.16","1.35","0.94",,,,1,8,"Bot",,,,,669257,,,6.8155674410476585,-126.86728311589512,-5.855404669593318,16.57658182569882,30.58011841967634,-32.72570780813547,"4.01","1.84",,,,"85.9",2693,"5.9",775296,595014,669257,518692,666158,571970,669242,606192,571771,605141,"54.62",,,,,,,,78,5,"Sweeper",6,7,6,7,7,6,6,7,"Strategic","Standard",47,"0","0.068",,
"ST","2024-10-30","85.4","-3.17","6.16","Judge, Aaron",592450,595014,,"foul",,,,,2,"Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernández.","W","R","R","NYY","LAD","S",,,2,1,2024,"1.67","-0.11","-0.1","3.59",,,,1,8,"Bot",,,,,669257,,,3.8157678218000726,-124.26210266259186,0.48952204586154213,16.450492655681778,26.466084735853673,-33.6012852943985,"4.01","1.84",,,,"84.1",2596,"5.6",775296,595014,669257,518692,666158,571970,669242,606192,571771,605141,"54.93",,,,,,,,78,4,"Sweeper",6,7,6,7,7,6,6,7,"Strategic","Standard",40,"0","-0.049","79.8588","7.42113"
"ST","2024-10-30","84.8","-3.15","6.13","Judge, Aaron",592450,595014,,"called_strike",,,,,9,"Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernández.","W","R","R","NYY","LAD","S",,,2,0,2024,"1.72","-0.08","0.66","2.06",,,,1,8,"Bot",,,,,669257,,,5.42512805988642,-123.35776860160038,-2.9372290092965447,16.298982854381837,26.479911005970653,-32.565618723223636,"3.99","1.81",,,,"83.6",2668,"5.7",775296,595014,669257,518692,666158,571970,669242,606192,571771,605141,"54.82",,,,,,,,78,3,"Sweeper",6,7,6,7,7,6,6,7,"Strategic","Standard",42,"0","-0.041",,
"SI","2024-10-30","96.3","-2.87","6.16","Judge, Aaron",592450,595014,,"ball",,,,,11,"Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernández.","W","R","R","NYY","LAD","B",,,1,0,2024,"-1.14","0.28","-0.12","4.38",,,,1,8,"Bot",,,,,669257,,,9.755857491239361,-139.9130146300834,0.22569548826749708,-17.167704757598607,30.9616179452214,-28.824415719316292,"4.04","1.89",,,,"95.2",2374,"5.7",775296,595014,669257,518692,666158,571970,669242,606192,571771,605141,"54.79",,,,,,,,78,2,"Sinker",6,7,6,7,7,6,6,7,"Strategic","Standard",226,"0","0.046",,
"ST","2024-10-30","85.8","-3.17","6.14","Judge, Aaron",592450,595014,,"ball",,,,,11,"Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernández.","W","R","R","NYY","LAD","B",,,0,0,2024,"1.6","-0.06","-1.04","3.36",,,,1,8,"Bot",,,,,669257,,,1.7793650707912076,-125.03156535341036,-0.219025276275707,16.380238997469917,25.81379356941847,-32.96450967619827,"4.06","1.89",,,,"84.8",2588,"5.6",775296,595014,669257,518692,666158,571970,669242,606192,571771,605141,"54.91",,,,,,,,78,1,"Sweeper",6,7,6,7,7,6,6,7,"Strategic","Standard",46,"0","0.025",,
"SI","2024-10-30","98.8","-1.6","6.51","Judge, Aaron",592450,660813,"walk","ball",,,,,3,"Aaron Judge walks.   Juan Soto to 2nd.","W","R","R","NYY","LAD","B",,,3,2,2024,"-1.37","0.7","0.72","3.58",,,665742,0,6,"Bot",,,,,669257,,,9.407147702287645,-143.49758037121546,-4.103867672001236,-21.108813702318344,33.43923136538033,-21.75657216491035,"4.04","1.86",,,,"97.8",2049,"5.8",775296,660813,669257,518692,666158,571970,669242,606192,571771,605141,"54.67",,0.689131,"0.7",1,0,0,,57,8,"Sinker",5,5,5,5,5,5,5,5,"Standard","Standard",222,"0.07","0.437",,
"SL","2024-10-30","85.7","2.75","5.42","Judge, Aaron",592450,607455,"walk","ball",,,,,13,"Aaron Judge walks.   Alex Verdugo to 3rd.    Juan Soto to 2nd.","W","R","L","NYY","LAD","B",,,3,1,2024,"-0.86","-0.6","-0.78","1.57",,657077,665742,2,2,"Bot",,,,,669257,,,-6.619164930153452,-124.64259910285922,-1.5572305044178463,-7.4083599159005225,27.57735565105869,-38.25176968632938,"4.04","1.86",,,,"85.4",2343,"6.4",775296,607455,669257,518692,666158,571970,669242,606192,571771,605141,"54.14",,0.689131,"0.7",1,0,0,,18,5,"Slider",4,0,4,0,0,4,4,0,"Standard","Standard",328,"0.01","0.227",,
"SI","2024-10-30","98.9","-1.55","6.44","Judge, Aaron",592450,660813,,"foul",,,,,11,"Aaron Judge walks.   Juan Soto to 2nd.","W","R","R","NYY","LAD","S",,,3,2,2024,"-1.4","0.94","-1.27","3.13",,,665742,0,6,"Bot",,,,,669257,,,3.9866086803558876,-143.8181965811764,-5.694781787063764,-20.274040787681145,34.843068191545065,-18.046485944493146,"4.01","1.84",9,"76.7",-19,"97.9",2104,"5.9",775296,660813,669257,518692,666158,571970,669242,606192,571771,605141,"54.63",,,,,,,,57,7,"Sinker",5,5,5,5,5,5,5,5,"Standard","Standard",217,"0","0","75.08337","7.69753"
