#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1,Cory Rasmus,474284,2413,,8492,,TB,RP,RP,Rasmus,Cory,Rasmus,Cory
2,Liam Hendriks,521230,3548,3548,8170,*01ub8*,BOS,RP,RP,Hendriks,Liam,Hendriks,Liam
3,Matt Buschmann,501936,3832,,9343,,TOR,P,P,Buschmann,Matt,Buschmann,Matt
4,Tyler Chatwood,543022,4338,4338,8005,*01sfa*,ARI,RP,RP,Chatwood,Tyler,Chatwood,Tyler
5,Giancarlo Stanton,519317,4949,4949,7789,*01cdf*,NYY,OF,OF,Stanton,Giancarlo,Stanton,Giancarlo
6,Jake Diekman,518617,5003,5003,8282,*02iya*,FA,RP,RP,Diekman,Jake,,
7,Sandy Leon,506702,5273,5273,8285,*02jtq*,ATL,C,C,Leon,Sandy,León,Sandy
8,Brandon Crawford,543063,5343,5343,8076,*01sdl*,FA,SS,SS,Crawford,Brandon,,
9,Freddie Freeman,518692,5361,5361,7793,*01cgo*,LAD,1B,1B,Freeman,Freddie,Freeman,Freddie
10,Jose Altuve,514888,5417,5417,8116,*024m0*,HOU,2B,2B,Altuve,Jose,Altuve,Jose
11,Ryan Brasier,518489,5615,5615,8481,*021jb*,LAD,RP,RP,Brasier,Ryan,Brasier,Ryan
12,Hernan Perez,541650,5751,5751,8317,*021wf*,CIN,SS,1B/2B/ SS/3B/ O,Perez,Hernan,Pérez,Hernán
13,Wilmer Flores,527038,5827,5827,7538,*01cgt*,SF,1B/3B,1B/3B,Flores,Wilmer,Flores,Wilmer
14,Leury Garcia,544725,5913,5913,8440,,ATL,2B,2B/SS/ 3B/OF,Garcia,Leury,Garcia,Leury
15,Jose Cisnero,542585,6399,6399,8469,*02jmi*,FA,RP,RP,Cisnero,Jose,,
16,Craig Kimbrel,518886,6655,6655,7760,*01scl*,FA,RP,RP,Kimbrel,Craig,,
17,Julio Teheran,527054,6797,6797,7404,*01cih*,BAL,SP,SP,Teheran,Julio,Teheran,Julio
18,Ryan Pressly,519151,7005,7005,8452,*02zif*,HOU,RP,RP,Pressly,Ryan,Pressly,Ryan
19,Salvador Perez,521692,7304,7304,8134,*01u75*,KC,C/1B,C/1B,Perez,Salvador,Perez,Salvador
20,Evan Scribner,519267,7525,,8055,,TB,RP,RP,Scribner,Evan,Scribner,Evan
21,Miguel Rojas,500743,7802,7802,8807,*01t5w*,LAD,2B/SS/ 3B,2B/SS/ 3B,Rojas,Miguel,Rojas,Miguel
22,Bryan Shaw,543766,8110,8110,8090,,LAA,RP,RP,Shaw,Bryan,Shaw,Bryan
23,Lucas Luetge,476595,8337,8337,8240,*021sx*,CHC,RP,RP,Luetge,Lucas,Luetge,Lucas
24,Starling Marte,516782,9241,9241,7736,*01s9k*,NYM,OF,OF,Marte,Starling,Marte,Starling
25,Dallas Keuchel,572971,9434,9434,8321,*01z83*,MIL,SP,SP,Keuchel,Dallas,Keuchel,Dallas
26,Yan Gomes,543228,9627,9627,8290,*024o9*,FA,C,C,Gomes,Yan,,
27,Christian Vazquez,543877,9774,9774,8843,*029us*,MIN,C,C,Vazquez,Christian,Vázquez,Christian
28,Nolan Arenado,571448,9777,9777,8223,*01sy3*,STL,3B,3B,Arenado,Nolan,Arenado,Nolan
29,DJ LeMahieu,518934,9874,9874,8079,*01sfi*,NYY,1B/3B,1B/2B/ 3B,LeMahieu,DJ,LeMahieu,DJ
30,Trayce Thompson,572204,9952,9952,9116,*01sb1*,CHC,OF,OF,Thompson,Trayce,Thompson,Trayce
31,Christian Bethancourt,542194,10028,10028,8615,*01sci*,CHC,C,C,Bethancourt,Christian,Bethancourt,Christian
32,Chris Owings,572008,10030,10030,8611,*01s8o*,LAD,SS,2B/SS,Owings,Chris,Owings,Chris
33,Max Stassi,545358,10059,10059,8582,*01sc7*,FA,C,C,Stassi,Max,,
34,Mike Trout,545361,10155,10155,7689,*01s8u*,LAA,OF,OF,Trout,Mike,Trout,Mike
35,Shelby Miller,571946,10197,10197,7683,*01sbv*,FA,RP,RP,Miller,Shelby,,
36,Randal Grichuk,545341,10243,10243,8773,*01s9c*,FA,OF,OF,Grichuk,Randal,,
37,Zack Wheeler,554430,10310,10310,8235,*01sb3*,PHI,SP,SP,Wheeler,Zack,Wheeler,Zack
38,Michael Tonkin,543859,10315,10315,8541,,MIN,RP,RP,Tonkin,Michael,Tonkin,Michael
39,Marcell Ozuna,542303,10324,10324,8478,*01usi*,ATL,DH,DH,Ozuna,Marcell,Ozuna,Marcell
40,Enrique Hernandez,571771,10472,10472,8835,*02h98*,FA,1B/2B/ SS/3B/OF,1B/2B/ SS/3B/OF,Hernandez,Enrique,,
41,Chris Sale,519242,10603,10603,7887,*01uca*,ATL,SP,SP,Sale,Chris,Sale,Chris
42,Carlos Perez,542208,10642,10642,9035,,OAK,C,C/1B,Perez,Carlos,Pérez,Carlos
43,Shane Greene,572888,10756,10756,8754,*02hds*,TEX,RP,RP,Greene,Shane,Greene,Shane
44,Michael Mariot,592527,10835,10835,8753,,SEA,RP,RP,Mariot,Michael,Mariot,Michael
45,Rangel Ravelo,592660,10839,,9233,,SEA,DH,OF,Ravelo,Rangel,Ravelo,Rangel
46,Jacob deGrom,594798,10954,10954,8784,*02hjp*,TEX,SP,SP,deGrom,Jacob,deGrom,Jacob
47,Tyler Lyons,544928,11334,,8493,*02haz*,NYY,RP,RP,Lyons,Tyler,Lyons,Tyler
48,Jake Marisnick,545350,11339,11339,8437,*01sit*,LAA,OF,OF,Marisnick,Jake,Marisnick,Jake
49,Gary Sanchez,596142,11442,11442,8212,*01t9q*,FA,C,C,Sanchez,Gary,,
50,Dixon Machado,553988,11472,11472,9050,*027h1*,HOU,SS,SS,Machado,Dixon,Machado,Dixon
51,Christian Yelich,592885,11477,11477,7903,*025dn*,MIL,OF,OF,Yelich,Christian,Yelich,Christian
52,Robbie Ray,592662,11486,11486,8775,*025j1*,SF,SP,SP,Ray,Robbie,Ray,Robbie
53,Joely Rodriguez,570257,11487,11487,9460,*03ani*,FA,RP,RP,Rodriguez,Joely,,
54,Michael A. Taylor,572191,11489,11489,8866,*02h9j*,FA,OF,OF,Taylor,Michael A.,,
55,Manny Machado,592518,11493,11493,7891,*01svq*,SD,3B,3B,Machado,Manny,Machado,Manny
56,Bryce Harper,547180,11579,11579,7885,*01fh9*,PHI,1B,1B,Harper,Bryce,Harper,Bryce
57,Yolmer Sanchez,570560,11602,11602,8846,*02i35*,NYM,2B,2B,Sanchez,Yolmer,Sánchez,Yolmer
58,Willson Contreras,575929,11609,11609,9263,*03oh0*,STL,C,C,Contreras,Willson,Contreras,Willson
59,Brandon Drury,592273,11615,11615,8931,*02hlw*,FA,1B/2B/ 3B,1B/2B/ 3B,Drury,Brandon,,
60,Heath Hembree,592390,11632,11632,8604,,SEA,RP,RP,Hembree,Heath,Hembree,Heath
61,Jameson Taillon,592791,11674,11674,7886,*01srb*,CHC,SP,SP,Taillon,Jameson,Taillon,Jameson
62,Elias Diaz,553869,11680,11680,9153,*03fhx*,FA,C,C,Diaz,Elias,,
63,Tayron Guerrero,594027,11691,11691,9300,*026t9*,LAA,RP,RP,Guerrero,Tayron,Guerrero,Tayron
64,Nick Castellanos,592206,11737,11737,8221,*01uc9*,PHI,OF,OF,Castellanos,Nick,Castellanos,Nick
65,J.T. Realmuto,592663,11739,11739,8800,*025i9*,PHI,C,C,Realmuto,J.T.,Realmuto,J.T.
66,James Paxton,572020,11828,11828,8424,*025l2*,BOS,SP,SP,Paxton,James,Paxton,James
67,Taijuan Walker,592836,11836,11836,8418,*025dq*,PHI,SP,SP,Walker,Taijuan,Walker,Taijuan
68,Joc Pederson,592626,11899,11899,8688,*026qc*,FA,OF,OF,Pederson,Joc,,
69,Jon Berti,542932,12037,12037,10113,*02c4r*,NYY,SS/3B,2B/SS/ 3B/OF,Berti,Jon,Berti,Jon
70,Max Kepler,596146,12144,12144,9172,*01vja*,FA,OF,OF,Kepler,Max,,
71,Eddie Rosario,592696,12155,12155,8675,*025f7*,FA,OF,OF,Rosario,Eddie,,
72,Austin Barnes,605131,12158,12158,9049,*02bwt*,LAD,C,C,Barnes,Austin,Barnes,Austin
73,Ben Gamel,592325,12160,12160,9197,*02hka*,FA,OF,OF,Gamel,Ben,,
74,Xander Bogaerts,593428,12161,12161,8417,*025gb*,SD,2B/SS,2B/SS,Bogaerts,Xander,Bogaerts,Xander
75,Rougned Odor,596059,12282,12282,8718,*026ly*,NYY,2B,2B/OF,Odor,Rougned,Odor,Rougned
76,Chris Bassitt,605135,12304,12304,8879,*02c2h*,TOR,SP,SP,Bassitt,Chris,Bassitt,Chris
77,Seth Lugo,607625,12447,12447,9312,*03sef*,KC,SP,SP,Lugo,Seth,Lugo,Seth
78,Marcus Semien,543760,12533,12533,8602,*02bu9*,TEX,2B,2B,Semien,Marcus,Semien,Marcus
79,Eugenio Suarez,553993,12552,12552,8805,*02jh6*,ARI,3B,3B,Suarez,Eugenio,Suárez,Eugenio
80,Trevor Story,596115,12564,12564,8658,*02bqh*,BOS,SS,SS,Story,Trevor,Story,Trevor
81,Adrian Houser,605288,12718,12718,9175,*02brc*,BAL,RP,RP,Houser,Adrian,Houser,Adrian
82,Rafael Montero,606160,12760,12760,8682,*02jhl*,HOU,RP,RP,Montero,Rafael,Montero,Rafael
83,Chris Devenski,606965,12763,12763,9342,*02i31*,NYM,RP,RP,Devenski,Chris,Devenski,Chris
84,Sonny Gray,543243,12768,12768,8546,*0260v*,STL,SP,SP,Gray,Sonny,Gray,Sonny
85,Matt Wisler,605538,12804,12804,8703,,TOR,RP,RP,Wisler,Matt,Wisler,Matt
86,George Springer,543807,12856,12856,8433,*025he*,TOR,OF,OF,Springer,George,Springer,George
87,Shawn Armstrong,542888,12857,12857,9123,*02c47*,FA,RP,RP,Armstrong,Shawn,,
88,Anthony Rendon,543685,12861,12861,8225,*01tt9*,LAA,3B,3B,Rendon,Anthony,Rendon,Anthony
89,Andrew McKirahan,605374,12870,,8990,,MIA,RP,RP,McKirahan,Andrew,McKirahan,Andrew
90,Tyler Anderson,542881,12880,12880,9107,*026mq*,LAA,SP,SP,Anderson,Tyler,Anderson,Tyler
91,Ken Giles,571704,12910,12910,8810,*02bvf*,ATL,RP,RP,Giles,Ken,Giles,Ken
92,Francisco Lindor,596019,12916,12916,8226,*02611*,NYM,SS,SS,Lindor,Francisco,Lindor,Francisco
93,Brandon Nimmo,607043,12927,12927,8955,*02bq2*,NYM,OF,OF,Nimmo,Brandon,Nimmo,Brandon
94,Joe Musgrove,605397,12970,12970,9248,*02bqy*,SD,SP,SP,Musgrove,Joe,Musgrove,Joe
95,Austin Hedges,595978,12976,12976,8431,*02brk*,FA,C,C,Hedges,Austin,,
96,Javier Baez,595879,12979,12979,8643,*026mn*,DET,SS,SS,Baez,Javier,Báez,Javier
97,Cam Gallagher,595956,12981,12981,9544,*02brd*,PHI,C,C,Gallagher,Cam,Gallagher,Cam
98,Teoscar Hernandez,606192,13066,13066,9428,*02xic*,FA,OF,OF,Hernandez,Teoscar,,
99,Yu Darvish,506433,13074,13074,8210,*01c5l*,SD,SP,SP,Darvish,Yu,Darvish,Yu
100,Gerrit Cole,543037,13125,13125,8231,*01spo*,NYY,SP,SP,Cole,Gerrit,Cole,Gerrit
101,Derek Law,571882,13133,13133,9289,*02bx6*,WSH,RP,RP,Law,Derek,Law,Derek
102,Eduardo Rodriguez,593958,13164,13164,8632,*029si*,ARI,SP,SP,Rodriguez,Eduardo,Rodriguez,Eduardo
103,Kyle Crick,605195,13182,13182,8714,,NYM,RP,RP,Crick,Kyle,Crick,Kyle
104,Orlando Arcia,606115,13185,13185,8950,*02i1q*,ATL,SS,SS,Arcia,Orlando,Arcia,Orlando
105,Michael Fulmer,605242,13218,13218,9217,*02bqj*,BOS,RP,RP,Fulmer,Michael,Fulmer,Michael
106,Matt Carasiti,571539,13276,13276,9429,*02mzv*,ATL,RP,RP,Carasiti,Matt,Carasiti,Matt
107,Jesse Hahn,534910,13287,13287,8803,,SEA,RP,RP,Hahn,Jesse,Hahn,Jesse
108,Max Muncy,571970,13301,13301,8691,*02mzg*,LAD,3B,3B,Muncy,Max,Muncy,Max
